geoid,num_surveys,detectors_found_total,no_detectors_found_prc,no_detectors_found_CI,detectors_working_total,no_detectors_working_prc,no_detectors_working_CI
#_08103,3.0,2.0,33.33,53.34310952616092,2.0,33.33,53.34310952616092
#_08105,42.0,22.0,47.62,15.104587477981646,9.0,78.57,12.409974475396798
#_08107,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_08109,5.0,2.0,60.0,42.941448508405024,1.0,80.0,35.0615458871967
#_08111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_08113,1.0,0.0,100.0,0.0,0.0,100.0,0.0
#_08115,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_08117,15.0,11.0,26.67,22.38013965068136,1.0,93.33,12.626529324561048
#_08119,6.0,2.0,66.67,37.71927447552511,1.0,83.33,29.822835774397223
#_08121,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_08123,424.0,286.0,32.55,4.4600488606766,136.0,67.92,4.443131444426648
#_08125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_09001,1496.0,1098.0,26.6,2.2391290419067325,677.0,54.75,2.5222703119883816
#_09003,3002.0,2582.0,13.99,1.2408922108550333,1447.0,51.8,1.7874715016154175
#_09005,383.0,297.0,22.45,4.178840144153835,192.0,49.87,5.007549151412496
#_09007,175.0,155.0,11.43,4.714150947434755,104.0,40.57,7.275157771155207
#_09009,1854.0,1480.0,20.17,1.82657378430617,887.0,52.16,2.273869745557708
#_09011,951.0,781.0,17.88,2.435420966027549,536.0,43.64,3.1520541958649475
#_09013,150.0,126.0,16.0,5.86691878246154,85.0,43.33,7.930149826983095
#_09015,188.0,171.0,9.04,4.099081825991061,136.0,27.66,6.394292324825254
#_10001,199.0,157.0,21.11,5.670020483615832,73.0,63.32,6.6959877389223905
#_10003,709.0,546.0,22.99,3.0972481420401152,369.0,47.95,3.677372520488355
#_10005,70.0,58.0,17.14,8.828459409885735,22.0,68.57,10.875426974974362
#_11001,767.0,632.0,17.6,2.695121379274441,423.0,44.85,3.5197544887416434
